persona;producto;cantidad;esDevolucion
Hector;Gorra;50;Falso
Frank;Bufanda;20;Cierto
Bob;Zapatos;11;Cierto
Grace;Gorra;18;Falso
Bob;Chaqueta;38;Falso
Charlie;Pantalones;39;Falso
Diana;Chaqueta;47;Cierto
Grace;Pantalones;12;Falso
Grace;Camiseta;41;Cierto
Alice;Pantalones;21;Falso
Irene;Pantalones;41;Falso
Bob;Chaqueta;28;Cierto
Jack;Chaqueta;18;Falso
Grace;Bufanda;13;Cierto
Eve;Sombrero;40;Falso
Alice;Chaqueta;26;Falso
Irene;Camiseta;47;Falso
Hector;Pantalones;45;Falso
Hector;Zapatos;18;Falso
Grace;Camiseta;44;Cierto
Diana;Calcetines;7;Cierto
Alice;Calcetines;13;Falso
Eve;Zapatos;31;Falso
Bob;Calcetines;9;Cierto
Alice;Gorra;34;Falso
Diana;Camiseta;36;Falso
Jack;Gorra;28;Falso
Irene;Sombrero;23;Falso
Diana;Bufanda;50;Cierto
Irene;Calcetines;25;Cierto
Charlie;Zapatos;44;Falso
Frank;Gorra;47;Falso
Charlie;Pantalones;9;Falso
Jack;Calcetines;37;Falso
Irene;Chaqueta;9;Falso
Hector;Zapatos;7;Falso
Frank;Bufanda;50;Falso
Bob;Bufanda;19;Falso
Diana;Pantalones;41;Cierto
Eve;Calcetines;32;Falso
Bob;Calcetines;34;Falso
Hector;Zapatos;5;Falso
Grace;Chaqueta;31;Falso
Grace;Chaqueta;13;Falso
Eve;Pantalones;30;Falso
Jack;Calcetines;11;Falso
Grace;Camiseta;42;Falso
Jack;Zapatos;45;Falso
Eve;Bufanda;33;Falso
Hector;Camiseta;38;Falso
Alice;Zapatos;25;Cierto
Eve;Bufanda;34;Falso
Frank;Gorra;5;Falso
Jack;Chaqueta;39;Falso
Charlie;Chaqueta;12;Cierto
Hector;Chaqueta;13;Falso
Frank;Gorra;31;Cierto
Diana;Chaqueta;29;Falso
Irene;Sombrero;22;Falso
Charlie;Sombrero;9;Falso
Irene;Calcetines;34;Falso
Irene;Sombrero;42;Falso
Charlie;Bufanda;50;Falso
Frank;Sombrero;43;Falso
Grace;Camiseta;20;Falso
Diana;Calcetines;28;Falso
Jack;Sombrero;43;Falso
Eve;Camiseta;8;Falso
Charlie;Pantalones;29;Cierto
Frank;Gorra;39;Falso
Charlie;Gorra;30;Falso
Frank;Bufanda;17;Falso
Grace;Calcetines;16;Falso
Irene;Camiseta;27;Falso
Bob;Calcetines;15;Falso
Charlie;Bufanda;45;Falso
Jack;Gorra;10;Falso
Charlie;Sombrero;18;Falso
Jack;Zapatos;7;Falso
Hector;Chaqueta;8;Falso
Hector;Bufanda;6;Falso
Grace;Sombrero;38;Falso
Charlie;Pantalones;28;Falso
Diana;Sombrero;16;Falso
Alice;Calcetines;42;Falso
Alice;Zapatos;36;Falso
Jack;Zapatos;11;Falso
Hector;Zapatos;43;Falso
Irene;Chaqueta;17;Falso
Charlie;Sombrero;16;Falso
Jack;Camiseta;9;Cierto
Diana;Gorra;47;Falso
Frank;Zapatos;5;Falso
Hector;Calcetines;19;Falso
Alice;Zapatos;50;Falso
Eve;Pantalones;26;Falso
Charlie;Sombrero;28;Falso
Alice;Sombrero;14;Falso
Eve;Calcetines;29;Falso
Alice;Pantalones;42;Falso
Alice;Bufanda;22;Cierto
Diana;Pantalones;35;Cierto
Hector;Chaqueta;36;Falso
Grace;Camiseta;13;Falso
Bob;Camiseta;45;Falso
Bob;Chaqueta;49;Falso
Diana;Zapatos;25;Falso
Jack;Calcetines;22;Falso
Jack;Sombrero;10;Falso
Grace;Calcetines;28;Falso
Irene;Chaqueta;13;Falso
Charlie;Calcetines;20;Falso
Bob;Bufanda;20;Falso
Jack;Chaqueta;18;Falso
Hector;Chaqueta;42;Falso
Eve;Calcetines;31;Falso
Frank;Gorra;39;Cierto
Hector;Sombrero;7;Falso
Frank;Gorra;42;Falso
Bob;Pantalones;21;Falso
Bob;Camiseta;11;Falso
Eve;Sombrero;25;Falso
Charlie;Calcetines;34;Falso
Bob;Bufanda;36;Falso
Diana;Bufanda;41;Falso
Grace;Gorra;46;Falso
Frank;Camiseta;32;Falso
Hector;Calcetines;36;Falso
Irene;Chaqueta;27;Falso
Eve;Chaqueta;48;Falso
Hector;Zapatos;41;Cierto
Diana;Sombrero;14;Falso
Alice;Chaqueta;6;Falso
Charlie;Zapatos;15;Cierto
Charlie;Zapatos;8;Falso
Frank;Camiseta;7;Falso
Hector;Bufanda;28;Falso
Eve;Sombrero;11;Falso
Frank;Pantalones;35;Falso
Frank;Bufanda;12;Falso
Eve;Gorra;18;Falso
Hector;Zapatos;32;Falso
Jack;Bufanda;38;Falso
Grace;Chaqueta;31;Falso
Diana;Chaqueta;32;Falso
Eve;Pantalones;39;Falso
Frank;Pantalones;32;Falso
Frank;Chaqueta;31;Cierto
Charlie;Pantalones;50;Cierto
Grace;Camiseta;35;Falso
Frank;Bufanda;15;Falso
Hector;Bufanda;8;Falso
Grace;Chaqueta;47;Falso
Frank;Calcetines;12;Falso
Diana;Gorra;48;Falso
Bob;Bufanda;22;Falso
Grace;Calcetines;25;Falso
Jack;Bufanda;16;Falso
Charlie;Camiseta;18;Falso
Grace;Chaqueta;36;Falso
Alice;Sombrero;38;Falso
Bob;Zapatos;38;Cierto
Grace;Sombrero;40;Falso
Grace;Zapatos;33;Falso
Alice;Bufanda;12;Falso
Charlie;Camiseta;26;Falso
Charlie;Calcetines;32;Cierto
Alice;Calcetines;37;Falso
Eve;Pantalones;20;Falso
Irene;Camiseta;11;Falso
Alice;Bufanda;50;Falso
Hector;Pantalones;7;Falso
Bob;Zapatos;39;Falso
Diana;Gorra;38;Falso
Irene;Chaqueta;8;Falso
Irene;Calcetines;7;Falso
Alice;Zapatos;21;Falso
Diana;Camiseta;22;Falso
Alice;Pantalones;38;Falso
Jack;Gorra;29;Falso
Charlie;Bufanda;42;Falso
Bob;Sombrero;42;Falso
Frank;Calcetines;35;Falso
Charlie;Pantalones;29;Cierto
Bob;Bufanda;7;Cierto
Frank;Camiseta;8;Falso
Eve;Camiseta;33;Falso
Grace;Sombrero;16;Falso
Hector;Camiseta;38;Falso
Hector;Zapatos;21;Falso
Diana;Camiseta;42;Falso
Frank;Camiseta;46;Cierto
Hector;Chaqueta;48;Falso
Frank;Gorra;12;Falso
Alice;Chaqueta;23;Falso
Frank;Gorra;22;Falso
Eve;Sombrero;38;Falso
Bob;Pantalones;7;Falso
Frank;Gorra;18;Cierto
Bob;Gorra;45;Falso
Bob;Zapatos;17;Falso
Frank;Camiseta;33;Falso
Irene;Calcetines;47;Cierto
Eve;Calcetines;15;Cierto
Hector;Sombrero;12;Falso
Alice;Calcetines;7;Falso
Jack;Gorra;5;Falso
Eve;Zapatos;35;Falso
Charlie;Gorra;6;Falso
Diana;Gorra;23;Falso
Hector;Zapatos;39;Falso
Eve;Chaqueta;37;Falso
Frank;Chaqueta;5;Falso
Hector;Pantalones;47;Cierto
Eve;Camiseta;7;Falso
Grace;Gorra;45;Falso
Grace;Camiseta;26;Cierto
Bob;Sombrero;40;Falso
Frank;Calcetines;47;Falso
Hector;Gorra;50;Cierto
Irene;Camiseta;40;Falso
Grace;Chaqueta;40;Falso
Eve;Chaqueta;36;Falso
Diana;Sombrero;31;Cierto
Bob;Gorra;34;Falso
Bob;Calcetines;23;Falso
Irene;Calcetines;25;Falso
Irene;Sombrero;43;Falso
Frank;Camiseta;17;Falso
Charlie;Sombrero;37;Falso
Bob;Zapatos;16;Falso
Charlie;Zapatos;14;Falso
Alice;Zapatos;45;Cierto
Bob;Pantalones;16;Cierto
Bob;Calcetines;26;Falso
Grace;Bufanda;45;Falso
Charlie;Pantalones;13;Cierto
Jack;Zapatos;18;Falso
Charlie;Sombrero;32;Falso
Grace;Pantalones;18;Falso
Bob;Bufanda;43;Falso
Diana;Calcetines;18;Falso
Charlie;Camiseta;17;Falso
Grace;Bufanda;28;Falso
Frank;Gorra;10;Falso
Charlie;Zapatos;41;Falso
Eve;Gorra;44;Falso
Alice;Zapatos;35;Falso
Hector;Gorra;22;Falso
Alice;Gorra;49;Falso
Grace;Gorra;27;Falso
Grace;Zapatos;9;Falso
Eve;Gorra;48;Cierto
Charlie;Pantalones;41;Falso
Alice;Calcetines;47;Falso
Jack;Chaqueta;15;Falso
Grace;Calcetines;27;Falso
Hector;Gorra;21;Falso
Diana;Zapatos;33;Falso
Alice;Gorra;43;Falso
Diana;Gorra;26;Falso
Jack;Sombrero;27;Falso
Charlie;Calcetines;17;Falso
Eve;Zapatos;45;Falso
Hector;Calcetines;24;Cierto
Jack;Camiseta;42;Falso
Irene;Calcetines;16;Falso
Grace;Bufanda;15;Falso
Charlie;Chaqueta;28;Falso
Bob;Calcetines;25;Falso
Frank;Sombrero;5;Falso
Diana;Sombrero;46;Cierto
Bob;Pantalones;11;Falso
Charlie;Camiseta;9;Falso
Diana;Bufanda;14;Falso
Frank;Pantalones;21;Falso
Hector;Pantalones;14;Falso
Eve;Zapatos;21;Falso
Hector;Camiseta;48;Falso
Jack;Gorra;30;Falso
Grace;Pantalones;21;Falso
Eve;Camiseta;30;Cierto
Charlie;Gorra;32;Falso
Bob;Chaqueta;5;Falso
Diana;Chaqueta;21;Falso
Hector;Gorra;47;Falso
Jack;Pantalones;35;Cierto
Irene;Gorra;25;Falso
Alice;Gorra;35;Falso
Grace;Bufanda;44;Falso
Frank;Camiseta;17;Falso
Alice;Sombrero;18;Falso
Irene;Camiseta;11;Falso
Alice;Calcetines;44;Falso
Diana;Sombrero;21;Falso
Grace;Bufanda;40;Falso
Hector;Bufanda;40;Falso
Diana;Bufanda;35;Falso
Jack;Sombrero;38;Falso
Bob;Calcetines;21;Falso
Alice;Chaqueta;48;Cierto
Hector;Sombrero;11;Falso
Hector;Zapatos;11;Falso
Bob;Chaqueta;22;Falso
Grace;Bufanda;19;Cierto
Charlie;Calcetines;34;Falso
Bob;Bufanda;50;Falso
Eve;Gorra;46;Falso
Hector;Bufanda;36;Falso
Eve;Calcetines;17;Falso
Eve;Calcetines;26;Falso
Jack;Gorra;45;Falso
Frank;Sombrero;18;Falso
Alice;Camiseta;39;Falso
Diana;Zapatos;11;Falso
Charlie;Gorra;20;Falso
Irene;Calcetines;5;Falso
Charlie;Chaqueta;28;Falso
Bob;Pantalones;41;Falso
Irene;Bufanda;25;Falso
Irene;Chaqueta;11;Falso
Diana;Sombrero;32;Cierto
Hector;Sombrero;20;Cierto
Hector;Sombrero;19;Falso
Grace;Bufanda;30;Cierto
Jack;Sombrero;48;Falso
Grace;Gorra;37;Falso
Grace;Sombrero;44;Cierto
Eve;Pantalones;20;Falso
Alice;Bufanda;36;Falso
Diana;Chaqueta;20;Falso
Irene;Camiseta;23;Cierto
Diana;Gorra;15;Falso
Alice;Chaqueta;30;Falso
Diana;Camiseta;12;Falso
Diana;Sombrero;20;Falso
Diana;Sombrero;5;Falso
Hector;Gorra;18;Cierto
Alice;Gorra;30;Falso
Alice;Sombrero;50;Falso
Frank;Zapatos;45;Falso
Irene;Zapatos;19;Cierto
Charlie;Bufanda;36;Falso
Irene;Calcetines;48;Falso
Charlie;Zapatos;23;Falso
Grace;Sombrero;45;Falso
Bob;Chaqueta;34;Falso
Frank;Camiseta;32;Falso
Jack;Camiseta;19;Falso
Charlie;Gorra;15;Falso
Hector;Camiseta;6;Falso
Grace;Gorra;46;Cierto
Jack;Gorra;32;Falso
Hector;Chaqueta;22;Falso
Frank;Sombrero;17;Falso
Eve;Camiseta;29;Falso
Bob;Calcetines;29;Cierto
Irene;Zapatos;41;Falso
Irene;Chaqueta;34;Falso
Bob;Calcetines;38;Falso
Charlie;Gorra;25;Falso
Frank;Camiseta;38;Falso
Frank;Zapatos;44;Falso
Irene;Zapatos;50;Falso
Alice;Chaqueta;30;Falso
Hector;Calcetines;37;Falso
Grace;Pantalones;13;Falso
Diana;Bufanda;34;Falso
Alice;Pantalones;50;Falso
Charlie;Zapatos;18;Falso
Diana;Pantalones;38;Falso
Grace;Chaqueta;35;Falso
Jack;Calcetines;39;Falso
Jack;Sombrero;12;Falso
Hector;Pantalones;10;Falso
Hector;Chaqueta;25;Falso
Irene;Zapatos;13;Falso
Frank;Zapatos;34;Falso
Alice;Bufanda;14;Cierto
Bob;Bufanda;28;Falso
Grace;Zapatos;50;Falso
Irene;Bufanda;36;Cierto
Jack;Chaqueta;6;Falso
Hector;Bufanda;48;Falso
Eve;Chaqueta;28;Falso
Diana;Chaqueta;40;Falso
Diana;Pantalones;48;Falso
Bob;Gorra;12;Falso
Hector;Pantalones;40;Falso
Alice;Camiseta;15;Falso
Alice;Zapatos;10;Falso
Grace;Bufanda;11;Falso
Bob;Zapatos;28;Falso
Irene;Chaqueta;29;Falso
Alice;Calcetines;38;Falso
Jack;Bufanda;5;Falso
Diana;Chaqueta;10;Falso
Eve;Pantalones;12;Falso
Charlie;Pantalones;45;Falso
Hector;Gorra;33;Falso
Eve;Camiseta;40;Falso
Alice;Chaqueta;45;Falso
Charlie;Camiseta;28;Falso
Grace;Sombrero;5;Cierto
Charlie;Calcetines;42;Falso
Jack;Bufanda;33;Falso
Diana;Chaqueta;11;Falso
Diana;Camiseta;42;Falso
Charlie;Camiseta;44;Falso
Charlie;Chaqueta;5;Falso
Bob;Gorra;27;Cierto
Grace;Gorra;30;Falso
Grace;Chaqueta;44;Cierto
Alice;Zapatos;38;Falso
Eve;Camiseta;45;Falso
Alice;Sombrero;36;Falso
Hector;Chaqueta;24;Falso
Grace;Camiseta;32;Cierto
Hector;Sombrero;48;Falso
Irene;Sombrero;41;Falso
Eve;Sombrero;27;Falso
Jack;Zapatos;10;Falso
Jack;Sombrero;22;Cierto
Charlie;Pantalones;32;Falso
Alice;Camiseta;46;Falso
Hector;Camiseta;21;Falso
Charlie;Calcetines;34;Falso
Hector;Chaqueta;8;Cierto
Eve;Chaqueta;34;Falso
Grace;Pantalones;25;Falso
Eve;Sombrero;31;Falso
Charlie;Chaqueta;39;Falso
Bob;Calcetines;15;Falso
Diana;Zapatos;47;Falso
Hector;Calcetines;23;Falso
Alice;Pantalones;41;Falso
Jack;Bufanda;23;Falso
Frank;Chaqueta;43;Falso
Grace;Calcetines;11;Falso
Grace;Calcetines;29;Falso
Irene;Zapatos;50;Falso
Jack;Sombrero;39;Falso
Frank;Camiseta;8;Falso
Jack;Gorra;12;Falso
Alice;Chaqueta;8;Falso
Alice;Zapatos;23;Falso
Irene;Calcetines;22;Falso
Charlie;Calcetines;22;Cierto
Alice;Sombrero;36;Falso
Hector;Chaqueta;6;Cierto
Grace;Sombrero;29;Falso
Irene;Sombrero;9;Falso
Jack;Chaqueta;39;Cierto
Hector;Bufanda;6;Falso
Grace;Zapatos;20;Falso
Alice;Pantalones;31;Falso
Alice;Bufanda;24;Falso
Eve;Calcetines;28;Falso
Jack;Gorra;33;Falso
Eve;Sombrero;14;Falso
Alice;Calcetines;14;Falso
Frank;Sombrero;14;Cierto
Irene;Bufanda;27;Falso
Grace;Sombrero;37;Falso
Alice;Calcetines;26;Falso
Jack;Camiseta;37;Falso
Charlie;Zapatos;34;Falso
Hector;Camiseta;24;Falso
Bob;Zapatos;44;Falso
Charlie;Calcetines;7;Falso
Jack;Chaqueta;20;Falso
Jack;Pantalones;24;Falso
Bob;Pantalones;20;Falso
Bob;Zapatos;40;Falso
Eve;Camiseta;31;Falso
Frank;Chaqueta;36;Falso
Bob;Calcetines;17;Falso
Jack;Camiseta;20;Falso
Irene;Chaqueta;47;Falso
Jack;Calcetines;42;Falso
Grace;Gorra;25;Falso
Grace;Calcetines;31;Falso
Charlie;Camiseta;44;Falso
Alice;Sombrero;34;Falso
Irene;Pantalones;40;Falso
Alice;Pantalones;48;Falso
Grace;Sombrero;48;Falso
Hector;Bufanda;13;Falso
Charlie;Gorra;20;Falso
Charlie;Chaqueta;13;Cierto
Eve;Calcetines;36;Falso
Bob;Zapatos;22;Falso
Irene;Gorra;28;Falso
Eve;Zapatos;33;Falso
Grace;Gorra;6;Falso
Irene;Chaqueta;28;Falso
Eve;Pantalones;35;Falso
Hector;Gorra;18;Falso
Grace;Bufanda;29;Falso
Eve;Camiseta;36;Falso
Charlie;Zapatos;5;Falso
Alice;Zapatos;46;Falso
Eve;Pantalones;24;Falso
Eve;Gorra;37;Falso
Charlie;Chaqueta;33;Cierto
Eve;Camiseta;9;Falso
Frank;Bufanda;27;Falso
Alice;Sombrero;41;Falso
Jack;Sombrero;49;Falso
Alice;Gorra;18;Falso
Irene;Calcetines;17;Falso
Eve;Gorra;46;Cierto
Hector;Zapatos;13;Falso
Grace;Gorra;8;Falso
Hector;Calcetines;28;Cierto
Irene;Camiseta;39;Falso
Alice;Zapatos;47;Falso
Eve;Gorra;27;Falso
Hector;Gorra;15;Falso
Bob;Calcetines;10;Falso
Charlie;Gorra;23;Falso
Bob;Pantalones;46;Falso
Hector;Calcetines;30;Falso
Grace;Chaqueta;13;Falso
Irene;Chaqueta;9;Falso
Grace;Zapatos;12;Falso
Eve;Zapatos;18;Falso
Bob;Zapatos;16;Falso
Frank;Calcetines;13;Falso
Jack;Pantalones;24;Falso
Bob;Camiseta;15;Falso
Grace;Sombrero;50;Falso
Jack;Calcetines;44;Falso
Charlie;Gorra;9;Cierto
Jack;Bufanda;14;Falso
Eve;Camiseta;36;Falso
Alice;Bufanda;48;Falso
Jack;Pantalones;36;Falso
Hector;Sombrero;48;Falso
Eve;Gorra;34;Falso
Grace;Sombrero;25;Falso
Charlie;Gorra;30;Falso
Frank;Gorra;35;Falso
Jack;Chaqueta;15;Falso
Grace;Zapatos;13;Falso
Eve;Calcetines;33;Falso
Charlie;Calcetines;13;Falso
Eve;Calcetines;8;Falso
Frank;Camiseta;11;Cierto
Irene;Zapatos;26;Cierto
Bob;Pantalones;7;Falso
Charlie;Pantalones;7;Falso
Hector;Pantalones;5;Falso
Charlie;Sombrero;28;Falso
Charlie;Sombrero;29;Falso
Jack;Zapatos;20;Falso
Frank;Gorra;6;Falso
Alice;Sombrero;30;Falso
Alice;Camiseta;44;Falso
Frank;Gorra;44;Falso
Frank;Calcetines;45;Falso
Alice;Camiseta;37;Falso
Eve;Chaqueta;14;Cierto
Charlie;Chaqueta;38;Falso
Eve;Gorra;24;Cierto
Eve;Gorra;24;Falso
Jack;Zapatos;19;Falso
Diana;Gorra;37;Falso
Hector;Pantalones;6;Falso
Jack;Gorra;21;Falso
Bob;Camiseta;27;Falso
Charlie;Bufanda;41;Falso
Eve;Sombrero;31;Falso
Irene;Sombrero;46;Falso
Bob;Camiseta;41;Falso
Irene;Gorra;18;Falso
Irene;Gorra;50;Falso
Diana;Sombrero;38;Falso
Charlie;Pantalones;9;Falso
Eve;Sombrero;45;Falso
Jack;Gorra;16;Falso
Alice;Chaqueta;20;Falso
Grace;Pantalones;32;Falso
Charlie;Zapatos;33;Falso
Charlie;Sombrero;42;Falso
Jack;Calcetines;30;Cierto
Frank;Pantalones;35;Cierto
Frank;Sombrero;38;Cierto
Hector;Calcetines;7;Falso
Frank;Chaqueta;37;Falso
Diana;Pantalones;5;Falso
Alice;Zapatos;47;Falso
Eve;Zapatos;43;Falso
Eve;Pantalones;15;Falso
Bob;Gorra;17;Falso
Hector;Sombrero;22;Falso
Jack;Bufanda;31;Falso
Bob;Chaqueta;42;Falso
Alice;Chaqueta;41;Falso
Irene;Chaqueta;20;Falso
Eve;Zapatos;47;Falso
Grace;Calcetines;50;Cierto
Frank;Calcetines;21;Falso
Bob;Gorra;21;Cierto
Irene;Sombrero;41;Falso
Grace;Pantalones;38;Cierto
Grace;Bufanda;8;Cierto
Jack;Zapatos;25;Falso
Irene;Sombrero;49;Falso
Jack;Pantalones;23;Falso
Jack;Pantalones;9;Falso
Alice;Zapatos;9;Falso
Alice;Pantalones;5;Falso
Alice;Bufanda;8;Falso
Charlie;Camiseta;36;Falso
Eve;Sombrero;24;Falso
Hector;Sombrero;32;Cierto
Irene;Bufanda;42;Falso
Eve;Zapatos;26;Falso
Bob;Chaqueta;34;Cierto
Charlie;Chaqueta;36;Falso
Alice;Camiseta;20;Falso
Hector;Sombrero;47;Cierto
Frank;Zapatos;50;Cierto
Hector;Camiseta;41;Falso
Charlie;Camiseta;31;Cierto
Alice;Chaqueta;42;Falso
Charlie;Bufanda;14;Falso
Alice;Calcetines;18;Falso
Grace;Bufanda;38;Falso
Diana;Camiseta;49;Falso
Jack;Bufanda;17;Cierto
Charlie;Calcetines;37;Falso
Jack;Calcetines;13;Cierto
Charlie;Zapatos;9;Falso
Diana;Sombrero;12;Falso
Eve;Gorra;27;Falso
Grace;Gorra;34;Falso
Eve;Bufanda;24;Falso
Eve;Chaqueta;23;Falso
Bob;Chaqueta;38;Falso
Alice;Zapatos;50;Falso
Diana;Calcetines;26;Falso
Eve;Calcetines;25;Cierto
Alice;Zapatos;8;Falso
Irene;Sombrero;44;Cierto
Eve;Camiseta;25;Falso
Frank;Sombrero;29;Falso
Grace;Pantalones;35;Falso
Frank;Gorra;36;Falso
Frank;Zapatos;7;Cierto
Diana;Pantalones;15;Falso
Frank;Pantalones;5;Falso
Grace;Sombrero;43;Falso
Jack;Gorra;27;Cierto
Hector;Chaqueta;44;Falso
Frank;Zapatos;7;Falso
Irene;Camiseta;11;Falso
Frank;Pantalones;42;Cierto
Bob;Bufanda;30;Falso
Frank;Gorra;17;Falso
Jack;Bufanda;11;Falso
Jack;Bufanda;43;Falso
Hector;Camiseta;20;Falso
Eve;Calcetines;18;Falso
Hector;Camiseta;28;Falso
Alice;Zapatos;5;Falso
Diana;Sombrero;46;Falso
Jack;Pantalones;41;Cierto
Alice;Bufanda;50;Falso
Alice;Sombrero;50;Falso
Alice;Sombrero;25;Falso
Eve;Bufanda;17;Falso
Irene;Pantalones;17;Cierto
Grace;Gorra;9;Falso
Frank;Bufanda;7;Falso
Frank;Zapatos;28;Falso
Grace;Gorra;12;Falso
Eve;Chaqueta;43;Falso
Bob;Bufanda;19;Cierto
Charlie;Gorra;25;Falso
Hector;Camiseta;25;Falso
Alice;Zapatos;9;Falso
Frank;Pantalones;17;Cierto
Diana;Gorra;49;Falso
Irene;Sombrero;15;Cierto
Charlie;Bufanda;38;Falso
Alice;Sombrero;21;Cierto
Grace;Sombrero;10;Falso
Charlie;Sombrero;24;Falso
Diana;Camiseta;15;Falso
Grace;Chaqueta;41;Falso
Alice;Gorra;28;Cierto
Frank;Chaqueta;41;Falso
Hector;Sombrero;18;Falso
Hector;Gorra;35;Falso
Hector;Sombrero;23;Cierto
Alice;Chaqueta;15;Falso
Eve;Zapatos;22;Falso
Charlie;Zapatos;47;Falso
Alice;Camiseta;20;Falso
Alice;Pantalones;37;Falso
Diana;Gorra;41;Falso
Frank;Chaqueta;22;Falso
Grace;Zapatos;18;Falso
Eve;Calcetines;5;Cierto
Diana;Pantalones;7;Falso
Charlie;Gorra;34;Falso
Frank;Calcetines;48;Falso
Hector;Sombrero;31;Falso
Charlie;Calcetines;30;Falso
Alice;Chaqueta;42;Falso
Charlie;Calcetines;28;Falso
Diana;Zapatos;17;Falso
Hector;Pantalones;44;Falso
Bob;Camiseta;27;Falso
Hector;Calcetines;46;Falso
Charlie;Bufanda;35;Falso
Charlie;Gorra;23;Falso
Alice;Zapatos;7;Falso
Jack;Gorra;46;Falso
Bob;Sombrero;42;Falso
Grace;Gorra;33;Cierto
Diana;Camiseta;25;Falso
Bob;Pantalones;36;Falso
Diana;Calcetines;44;Falso
Jack;Pantalones;38;Cierto
Bob;Sombrero;34;Falso
Alice;Chaqueta;5;Falso
Frank;Pantalones;37;Falso
Alice;Zapatos;22;Falso
Frank;Pantalones;17;Falso
Frank;Calcetines;37;Falso
Alice;Calcetines;32;Falso
Charlie;Chaqueta;8;Falso
Hector;Gorra;31;Cierto
Irene;Camiseta;8;Falso
Alice;Camiseta;41;Falso
Charlie;Sombrero;46;Falso
Eve;Chaqueta;16;Cierto
Frank;Bufanda;16;Falso
Eve;Chaqueta;37;Cierto
Charlie;Sombrero;26;Falso
Diana;Calcetines;9;Falso
Grace;Zapatos;37;Falso
Alice;Gorra;14;Falso
Jack;Zapatos;39;Falso
Diana;Calcetines;15;Falso
Irene;Camiseta;30;Falso
Alice;Bufanda;13;Falso
Alice;Chaqueta;11;Falso
Diana;Zapatos;8;Falso
Eve;Pantalones;29;Falso
Bob;Pantalones;13;Falso
Alice;Calcetines;17;Falso
Eve;Chaqueta;15;Falso
Frank;Zapatos;42;Falso
Charlie;Zapatos;49;Falso
Jack;Sombrero;27;Falso
Diana;Zapatos;43;Falso
Grace;Gorra;43;Falso
Bob;Pantalones;17;Falso
Hector;Zapatos;38;Falso
Diana;Calcetines;6;Falso
Irene;Sombrero;20;Falso
Irene;Sombrero;39;Falso
Charlie;Pantalones;12;Falso
Diana;Camiseta;23;Falso
Diana;Chaqueta;41;Falso
Grace;Pantalones;29;Falso
Charlie;Bufanda;43;Falso
Alice;Zapatos;39;Falso
Diana;Bufanda;19;Falso
Charlie;Calcetines;27;Falso
Alice;Pantalones;37;Falso
Charlie;Chaqueta;16;Falso
Hector;Gorra;26;Falso
Bob;Zapatos;36;Falso
Frank;Bufanda;31;Falso
Hector;Gorra;33;Falso
Charlie;Camiseta;13;Falso
Irene;Chaqueta;49;Falso
Eve;Zapatos;16;Falso
Irene;Bufanda;36;Falso
Charlie;Camiseta;37;Cierto
Grace;Pantalones;23;Falso
Charlie;Calcetines;30;Falso
Alice;Chaqueta;16;Falso
Diana;Gorra;28;Falso
Diana;Bufanda;23;Falso
Diana;Zapatos;32;Falso
Irene;Zapatos;25;Falso
Alice;Chaqueta;46;Falso
Bob;Pantalones;31;Cierto
Alice;Bufanda;45;Falso
Eve;Chaqueta;9;Cierto
Diana;Zapatos;32;Falso
Jack;Zapatos;37;Falso
Grace;Gorra;39;Falso
Alice;Pantalones;28;Falso
Eve;Chaqueta;48;Falso
Alice;Zapatos;20;Falso
Frank;Chaqueta;33;Cierto
Hector;Sombrero;5;Falso
Irene;Chaqueta;24;Falso
Hector;Calcetines;37;Falso
Charlie;Zapatos;36;Falso
Hector;Bufanda;13;Falso
Irene;Pantalones;45;Falso
Bob;Bufanda;48;Cierto
Alice;Camiseta;18;Cierto
Diana;Camiseta;19;Falso
Diana;Calcetines;16;Falso
Jack;Chaqueta;37;Falso
Eve;Calcetines;22;Cierto
Diana;Zapatos;33;Cierto
Frank;Gorra;17;Falso
Diana;Bufanda;49;Falso
Frank;Gorra;24;Falso
Eve;Bufanda;13;Falso
Jack;Calcetines;38;Falso
Alice;Sombrero;37;Falso
Eve;Bufanda;9;Falso
Bob;Pantalones;22;Cierto
Jack;Sombrero;48;Falso
Hector;Calcetines;17;Falso
Hector;Bufanda;13;Falso
Hector;Gorra;23;Falso
Irene;Pantalones;16;Falso
Frank;Pantalones;47;Falso
Diana;Pantalones;45;Falso
Diana;Bufanda;35;Falso
Charlie;Pantalones;7;Falso
Bob;Calcetines;18;Falso
Irene;Gorra;30;Falso
Irene;Sombrero;5;Cierto
Charlie;Chaqueta;27;Cierto
Alice;Gorra;6;Falso
Grace;Gorra;34;Falso
Hector;Sombrero;23;Falso
Charlie;Calcetines;35;Falso
Jack;Calcetines;36;Cierto
Charlie;Sombrero;26;Falso
Alice;Pantalones;29;Falso
Bob;Camiseta;44;Falso
Grace;Gorra;27;Falso
Hector;Chaqueta;41;Falso
Grace;Pantalones;32;Falso
Frank;Sombrero;37;Falso
Grace;Zapatos;28;Falso
Charlie;Camiseta;25;Falso
Frank;Calcetines;15;Falso
Jack;Chaqueta;33;Falso
Grace;Pantalones;7;Falso
Diana;Zapatos;22;Falso
Irene;Zapatos;30;Falso
Grace;Sombrero;5;Falso
Eve;Bufanda;16;Cierto
Bob;Zapatos;5;Falso
